DATE,TOTAL_DRAWS,TOTAL_MONEY_IN_DRAWS,DAILY_DRAWS,DAILY_MONEY_IN_DRAWS
2023-07-20,3,0,3,0
2023-07-21,9,0,6,0
2023-07-24,1610,14439,1601,14438
2023-07-25,2716,26623,1106,12184
2023-07-26,4371,37487,1655,10864
2023-07-27,6170,49260,1799,11773
2023-07-28,7521,57117,1351,7857
2023-07-29,8176,60569,655,3452
2023-07-30,8774,63479,598,2910
2023-07-31,9496,66678,722,3199
2023-08-01,10226,71342,730,4664
2023-08-02,11026,75631,800,4289
2023-08-03,11718,78755,692,3124
2023-08-04,12363,81707,645,2952
2023-08-05,12980,85189,617,3482
2023-08-06,13591,88533,611,3344
2023-08-07,14198,91386,607,2853
2023-08-08,14655,93638,457,2252
2023-08-09,15005,96115,350,2477
2023-08-10,15326,97941,321,1826
2023-08-11,15847,101287,521,3346
2023-08-12,16332,103554,485,2267
2023-08-13,16855,106446,523,2892
2023-08-14,17385,109445,530,2999
2023-08-15,17960,112440,575,2995
2023-08-16,18523,114680,563,2240
2023-08-17,18993,117211,470,2531
2023-08-18,19533,119511,540,2300
2023-08-19,20178,122601,645,3090
2023-08-20,20795,125299,617,2698
2023-08-21,21413,128234,618,2935
2023-08-22,21912,131295,499,3061
2023-08-23,22372,133901,460,2606
2023-08-24,22884,137287,512,3386
2023-08-25,23283,139551,399,2264
2023-08-26,23680,141997,397,2446
2023-08-27,24044,143405,364,1408
2023-08-28,24442,145491,398,2086
2023-08-29,24821,147631,379,2140
2023-08-30,25159,149208,338,1577
2023-08-31,25515,151182,356,1974
2023-09-01,25829,154169,314,2987
2023-09-02,26113,156423,284,2254
2023-09-03,26397,158004,284,1581
2023-09-04,26693,159295,296,1291
2023-09-05,26962,160918,269,1623
2023-09-06,27242,162588,280,1670
2023-09-07,27584,165389,342,2801
2023-09-08,27869,167249,285,1860
2023-09-09,28089,168114,220,865
2023-09-10,28319,169359,230,1245
2023-09-11,28559,170632,240,1273
2023-09-12,28792,172253,233,1621
2023-09-13,29008,173469,216,1216
2023-09-14,29219,175070,211,1601
2023-09-15,29830,178989,611,3919
2023-09-16,30339,181458,509,2469
2023-09-17,30818,183897,479,2439
2023-09-18,31360,187075,542,3178
2023-09-19,31835,189310,475,2235
2023-09-20,32228,191222,393,1912
2023-09-21,32544,193085,316,1863
2023-09-22,32867,194400,323,1315
2023-09-23,33174,195840,307,1440
2023-09-24,33431,197150,257,1310
2023-09-25,33758,198977,327,1827
2023-09-26,34069,200761,311,1784
2023-09-27,34377,202386,308,1625
2023-09-28,34681,204423,304,2037
2023-09-29,34949,205933,268,1510
2023-09-30,35235,208147,286,2214
2023-10-01,35517,211839,282,3692
2023-10-02,35849,214020,332,2181
2023-10-03,36111,215108,262,1088
2023-10-04,36394,216143,283,1035
2023-10-05,36653,217237,259,1094
2023-10-06,36901,219079,248,1842
2023-10-07,37155,220265,254,1186
2023-10-08,37397,221840,242,1575
2023-10-09,37632,222991,235,1151
2023-10-10,37887,223956,255,965
2023-10-11,38218,225196,331,1240
2023-10-12,38537,226953,319,1757
2023-10-13,39006,228353,469,1400
2023-10-14,39424,230155,418,1802
2023-10-15,39795,231394,371,1239
2023-10-16,40220,233000,425,1606
2023-10-17,40577,234315,357,1315
2023-10-18,40891,235664,314,1349
2023-10-19,41198,236815,307,1151
2023-10-20,41718,238053,520,1238
2023-10-21,42259,239242,541,1189
2023-10-22,42787,240559,528,1317
2023-10-23,43262,241874,475,1315
2023-10-24,43740,243325,478,1451
2023-10-25,44171,244500,431,1175
2023-10-26,44598,245782,427,1282
2023-10-27,45008,246890,410,1108
2023-10-28,45478,248279,470,1389
2023-10-29,45873,249430,395,1151
2023-10-30,46330,250786,457,1356
2023-10-31,46736,252469,406,1683
2023-11-01,47132,254329,396,1860
2023-11-02,47500,255527,368,1198
2023-11-03,47952,256871,452,1344
2023-11-04,48354,258273,402,1402
2023-11-05,48795,259765,441,1492
2023-11-06,49256,261310,461,1545
2023-11-07,49701,262735,445,1425
2023-11-08,50093,264093,392,1358
2023-11-09,50493,265408,400,1315
2023-11-10,50973,267776,480,2368
2023-11-11,51436,269474,463,1698
2023-11-12,51884,271435,448,1961
2023-11-13,52301,273509,417,2074
2023-11-14,52726,275136,425,1627
2023-11-15,53118,277096,392,1960
2023-11-16,53482,278383,364,1287
2023-11-17,53807,279748,325,1365
2023-11-18,54117,280991,310,1243
2023-11-19,54444,282548,327,1557
2023-11-20,54780,284398,336,1850
2023-11-21,55204,285993,424,1595
2023-11-22,55596,287692,392,1699
2023-11-23,55983,289136,387,1444
2023-11-24,56357,290618,374,1482
2023-11-25,56657,291907,300,1289
2023-11-26,57011,293327,354,1420
2023-11-27,57373,294659,362,1332
2023-11-28,57672,295776,299,1117
2023-11-29,57954,297060,282,1284
2023-11-30,58225,298345,271,1285
2023-12-01,58531,299842,306,1497
2023-12-02,58786,300796,255,954
2023-12-03,59090,301993,304,1197
2023-12-04,59440,304066,350,2073
2023-12-05,59774,305544,334,1478
2023-12-06,60099,307560,325,2016
2023-12-07,60435,309313,336,1753
2023-12-08,60746,310842,311,1529
2023-12-09,61036,312007,290,1165
2023-12-10,61348,313389,312,1382
2023-12-11,61650,314576,302,1187
2023-12-12,61926,315734,276,1158
2023-12-13,62209,317302,283,1568
2023-12-14,62465,318346,256,1044
2023-12-15,62732,319438,267,1092
2023-12-16,62978,321199,246,1761
2023-12-17,63235,322510,257,1311
2023-12-18,63539,323534,304,1024
2023-12-19,63790,324823,251,1289
2023-12-20,64066,326068,276,1245
2023-12-21,64334,327128,268,1060
2023-12-22,64602,328548,268,1420
2023-12-23,64843,329581,241,1033
2023-12-24,65113,330823,270,1242
2023-12-25,65348,332024,235,1201
2023-12-26,65587,332882,239,858
2023-12-27,65852,334092,265,1210
2023-12-28,66128,335302,276,1210
