DATE,NUMBER_OF_OFFICIAL_ACCOUNTS
2023-02-09,3
2023-02-22,4
2023-02-24,5
2023-02-28,6
2023-03-06,8
2023-03-14,9
2023-03-17,10
2023-03-22,11
2023-03-23,12
2023-03-26,13
2023-03-27,14
2023-03-29,15
2023-04-14,17
2023-04-17,18
2023-04-27,19
2023-04-29,20
2023-05-06,21
2023-05-08,22
2023-05-13,23
2023-05-18,24
2023-05-21,25
2023-05-23,27
2023-05-25,28
2023-05-26,31
2023-05-27,32
2023-05-29,34
2023-05-30,35
2023-05-31,37
2023-06-02,39
2023-06-03,40
2023-06-04,41
2023-06-06,43
2023-06-08,44
2023-06-09,45
2023-06-15,46
2023-06-18,47
2023-06-19,49
2023-06-20,50
2023-06-23,52
2023-06-24,53
2023-06-26,54
2023-06-27,56
2023-06-28,58
2023-06-30,59
2023-07-02,60
2023-07-05,61
2023-07-06,63
2023-07-07,64
2023-07-10,65
2023-07-12,66
2023-07-13,67
2023-07-16,68
2023-07-17,70
2023-07-18,72
2023-07-20,74
2023-07-22,75
2023-07-23,77
2023-07-24,80
2023-07-25,84
2023-07-26,85
2023-07-27,89
2023-07-30,93
2023-07-31,95
2023-08-01,96
2023-08-02,103
2023-08-03,106
2023-08-04,107
2023-08-05,108
2023-08-06,109
2023-08-09,115
2023-08-10,117
2023-08-11,119
2023-08-12,120
2023-08-13,122
2023-08-14,124
2023-08-15,125
2023-08-16,128
2023-08-17,130
2023-08-18,133
2023-08-19,134
2023-08-21,139
2023-08-22,140
2023-08-23,143
2023-08-24,144
2023-08-25,145
2023-08-26,146
2023-08-27,147
2023-08-28,149
2023-08-29,152
2023-08-30,153
2023-08-31,156
2023-09-01,158
2023-09-04,159
2023-09-05,162
2023-09-06,164
2023-09-07,167
2023-09-08,171
2023-09-11,174
2023-09-13,177
2023-09-15,178
2023-09-16,179
2023-09-17,180
2023-09-18,181
2023-09-19,182
2023-09-20,185
2023-09-21,187
2023-09-22,188
2023-09-23,189
2023-09-25,191
2023-09-27,193
2023-09-28,194
2023-10-02,197
2023-10-03,198
2023-10-04,200
2023-10-06,201
2023-10-07,202
2023-10-08,203
2023-10-10,206
2023-10-11,210
2023-10-13,211
2023-10-14,212
2023-10-15,213
2023-10-16,216
2023-10-17,220
2023-10-18,224
2023-10-19,228
2023-10-20,230
2023-10-22,231
2023-10-23,233
2023-10-24,238
2023-10-25,243
2023-10-26,251
2023-10-27,253
2023-10-28,255
2023-10-30,260
2023-10-31,262
2023-11-01,263
2023-11-03,264
2023-11-06,266
2023-11-07,269
2023-11-08,271
2023-11-10,276
2023-11-11,277
2023-11-13,279
2023-11-14,280
2023-11-15,281
2023-11-16,287
2023-11-17,288
2023-11-18,289
2023-11-21,291
2023-11-22,293
2023-11-27,295
2023-11-28,296
2023-11-29,299
2023-11-30,301
2023-12-05,302
2023-12-06,303
2023-12-07,304
2023-12-12,305
2023-12-13,306
2023-12-14,307
