DATE,TOTAL_REWARDPOOLS,TOTAL_MONEY_IN_REWARDPOOLS,DAILY_REWARDPOOLS,DAILY_MONEY_IN_REWARDPOOLS
2023-06-09,1,0,1,0
2023-06-11,14,2,13,2
2023-06-12,139,151,125,148
2023-06-13,230,692,91,541
2023-06-14,442,1454,212,762
2023-06-15,672,1643,230,188
2023-06-16,929,2102,257,459
2023-06-17,1077,2374,148,271
2023-06-18,1171,2571,94,197
2023-06-19,1283,2917,112,346
2023-06-20,1457,3464,174,546
2023-06-21,1626,3849,169,384
2023-06-22,1896,4293,270,443
2023-06-23,2064,4451,168,157
2023-06-24,2154,4565,90,114
2023-06-25,2245,4640,91,74
2023-06-26,2387,4956,142,315
2023-06-27,2809,5163,422,207
2023-06-28,2925,5233,116,69
2023-06-29,3059,5311,134,78
2023-06-30,3222,5872,163,560
2023-07-01,3494,6546,272,674
2023-07-02,3675,6877,181,331
2023-07-03,3880,7367,205,490
2023-07-04,4271,7567,391,200
2023-07-05,4682,7946,411,378
2023-07-06,5048,8327,366,381
2023-07-07,5219,9656,171,1328
2023-07-08,5353,10058,134,402
2023-07-09,5492,10376,139,318
2023-07-10,5683,10909,191,532
2023-07-11,5905,11290,222,381
2023-07-12,6110,11775,205,485
2023-07-13,6374,12736,264,960
2023-07-14,6823,14949,449,2213
2023-07-15,7116,16415,293,1465
2023-07-16,7393,18388,277,1972
2023-07-17,7708,20695,315,2307
2023-07-18,8005,22149,297,1453
2023-07-19,8451,24771,446,2622
2023-07-20,9065,26796,614,2024
2023-07-21,9703,29320,638,2523
2023-07-22,10404,31102,701,1782
2023-07-23,11214,34082,810,2980
2023-07-24,12519,38342,1305,4259
2023-07-25,13713,42061,1194,3718
2023-07-26,15096,46656,1383,4595
2023-07-27,16518,54151,1422,7494
2023-07-28,17852,67137,1334,12986
2023-07-29,18828,69997,976,2860
2023-07-30,19788,73245,960,3247
2023-07-31,20874,75226,1086,1980
2023-08-01,22018,77713,1144,2486
2023-08-02,23177,82596,1159,4883
2023-08-03,24252,85304,1075,2708
2023-08-04,25472,87903,1220,2598
2023-08-05,26429,89557,957,1653
2023-08-06,27329,91310,900,1753
2023-08-07,28561,94453,1232,3142
2023-08-08,29862,97402,1301,2949
2023-08-09,31132,100426,1270,3023
2023-08-10,32208,102429,1076,2002
2023-08-11,33399,105089,1191,2660
2023-08-12,34312,107186,913,2096
2023-08-13,35081,109425,769,2239
2023-08-14,36077,113474,996,4048
2023-08-15,36995,115364,918,1889
2023-08-16,37807,117982,812,2618
2023-08-17,38609,120494,802,2511
2023-08-18,39318,123123,709,2628
2023-08-19,40063,124985,745,1861
2023-08-20,40818,127627,755,2642
2023-08-21,41597,129478,779,1850
2023-08-22,42353,132021,756,2542
2023-08-23,43012,134227,659,2206
2023-08-24,43713,135995,701,1767
2023-08-25,44338,138089,625,2093
2023-08-26,44931,139470,593,1381
2023-08-27,45478,140793,547,1323
