SnapshotDate,Id,UsdValue,Web3Id,FollowerCount,Tvf
07/20/2023 03:00:00,0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,19864760.962583,Ethereum,45600,720730787.947361
07/20/2023 03:00:00,0x9c5083dd4838e120dbeac44c052179692aa5dac5,23887145.293876,PennilessWassie,39876,729182619.559452
07/20/2023 03:00:00,0x50664ede715e131f584d3e7eaabd7818bb20a068,23899785.743271,YFImaxi,31531,504603771.227414
07/20/2023 03:00:00,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,414520.319407,vitalik,28141,393810557.502147
07/20/2023 03:00:00,0x66b870ddf78c975af5cd8edc6de25eca81791de1,5693363.444336,a16z,27425,612863802.334358
07/20/2023 03:00:00,0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,27630062.756213,blurr,24925,484920145.788594
07/20/2023 03:00:00,0x7bfee91193d9df2ac0bfe90191d40f23c773c060,21541835.140596,an0n,21434,575717131.941961
07/20/2023 03:00:00,0x26fcbd3afebbe28d0a8684f790c48368d21665b5,21820393.313386,EverydayWhale,21079,408275384.712031
07/20/2023 03:00:00,0xb72ed8401892466ea8af528c1af1d0524bc5e105,732363.165071,Gekko,20579,349475497.114371
07/20/2023 03:00:00,0x3ec6732676db7996c1b34e64b0503f941025cb63,5079474.823405,FOMO,18472,248755537.657033
07/25/2023 00:00:00,0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,19329978.925249,Ethereum,48236,742542040.710857
07/25/2023 00:00:00,0x9c5083dd4838e120dbeac44c052179692aa5dac5,22530004.02152,PennilessWassie,41366,743408214.574992
07/25/2023 00:00:00,0x66b870ddf78c975af5cd8edc6de25eca81791de1,34099831.883626,a16z,34160,646321599.02399
07/25/2023 00:00:00,0x50664ede715e131f584d3e7eaabd7818bb20a068,23057877.933622,YFImaxi,32827,525614383.853005
07/25/2023 00:00:00,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,393143.968551,vitalik,28337,424732560.970041
07/25/2023 00:00:00,0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,26792039.537887,blurr,27479,480277971.85599
07/25/2023 00:00:00,0x7bfee91193d9df2ac0bfe90191d40f23c773c060,20794341.166049,an0n,25661,602367948.710588
07/25/2023 00:00:00,0xb72ed8401892466ea8af528c1af1d0524bc5e105,706941.358126,Gekko,25258,396712702.330284
07/25/2023 00:00:00,0x26fcbd3afebbe28d0a8684f790c48368d21665b5,20989263.827778,EverydayWhale,23467,442424998.829609
07/25/2023 00:00:00,0x14ff0bc9417b6796f79768729002a793b51205b8,624448.921022,defigen,23190,315338526.660758
08/08/2023 00:00:00,0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,18281289.91147,Ethereum,51697,731250766.593591
08/08/2023 00:00:00,0x9c5083dd4838e120dbeac44c052179692aa5dac5,23287763.388977,PennilessWassie,43125,707005231.640905
08/08/2023 00:00:00,0x66b870ddf78c975af5cd8edc6de25eca81791de1,5649787.851549,a16z,43058,662165270.714387
08/08/2023 00:00:00,0x50664ede715e131f584d3e7eaabd7818bb20a068,22480880.492974,YFImaxi,34787,488481016.121319
08/08/2023 00:00:00,0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,27273018.293588,blurr,31822,487677751.659666
08/08/2023 00:00:00,0x7bfee91193d9df2ac0bfe90191d40f23c773c060,20527504.695288,an0n,31051,615468347.039695
08/08/2023 00:00:00,0xb72ed8401892466ea8af528c1af1d0524bc5e105,725269.184766,Gekko,30732,422908109.571158
08/08/2023 00:00:00,0x14ff0bc9417b6796f79768729002a793b51205b8,559707.377817,defigen,30116,362624329.511906
08/08/2023 00:00:00,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,381085.282334,vitalik,28607,359405426.829204
08/08/2023 00:00:00,0x26fcbd3afebbe28d0a8684f790c48368d21665b5,20143315.247481,EverydayWhale,27679,409106783.77804
08/15/2023 00:00:00,0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,18306967.459636,Ethereum,52787,740307715.961785
