DATE,TOTAL_ARTICLES,TOTAL_UNIQUE_USERS,DAILY_ARTICLES,DAILY_UNIQUE_USERS
2023-05-06,638,498,638,498
2023-05-07,1763,1297,1125,873
2023-05-08,3341,2350,1578,1219
2023-05-09,4540,3093,1199,942
2023-05-10,5527,3649,987,757
2023-05-11,6326,4100,799,629
2023-05-12,6945,4425,619,496
2023-05-13,7496,4709,551,462
2023-05-14,7985,4923,489,382
2023-05-15,8856,5274,871,566
2023-05-16,9347,5484,491,391
2023-05-17,10023,5753,676,476
2023-05-18,10401,5896,378,290
2023-05-19,10766,6032,365,285
2023-05-20,11178,6145,412,306
2023-05-21,11587,6277,409,317
2023-05-22,12083,6454,496,377
2023-05-23,12630,6673,547,411
2023-05-24,13250,6871,620,439
2023-05-25,14884,7718,1634,1248
2023-05-26,17181,8632,2297,1510
2023-05-27,18952,9313,1771,1209
2023-05-28,21278,10225,2326,1557
2023-05-29,23950,11377,2672,1909
2023-05-30,25703,11959,1753,1236
2023-05-31,27228,12394,1525,1072
2023-06-01,28508,12661,1280,837
2023-06-02,30413,13265,1905,1344
2023-06-03,32007,13694,1594,1088
2023-06-04,33520,14062,1513,1019
2023-06-05,35856,14724,2336,1607
2023-06-06,37791,15148,1935,1258
2023-06-07,39439,15455,1648,1023
2023-06-08,40918,15712,1479,923
2023-06-09,42443,15990,1525,976
2023-06-10,43957,16237,1514,945
2023-06-11,45597,16545,1640,972
2023-06-12,47266,16770,1669,932
2023-06-13,48807,16969,1541,911
2023-06-14,50274,17112,1467,818
2023-06-15,51475,17225,1201,725
2023-06-16,57516,21590,6041,5308
2023-06-17,72474,34815,14958,14047
2023-06-18,85820,46588,13346,12567
2023-06-19,101707,60875,15887,15144
2023-06-20,105394,62845,3687,2843
2023-06-21,110365,66053,4971,4206
2023-06-22,112705,66904,2340,1668
2023-06-23,114249,67080,1544,965
2023-06-24,116283,67972,2034,1558
2023-06-25,121170,71642,4887,4383
2023-06-26,123795,72492,2625,1632
2023-06-27,126223,73114,2428,1588
2023-06-28,128325,73674,2102,1437
2023-06-29,130130,74011,1805,1156
2023-06-30,131936,74264,1806,1051
2023-07-01,134043,74604,2107,1264
2023-07-02,136136,74945,2093,1323
2023-07-03,138137,75188,2001,1221
2023-07-04,140066,75446,1929,1163
2023-07-05,142108,75801,2042,1244
2023-07-06,144664,76157,2556,1528
2023-07-07,146693,76481,2029,1309
2023-07-08,148446,76827,1753,1150
2023-07-09,150597,77320,2151,1462
2023-07-10,153647,77979,3050,1949
2023-07-11,157093,78829,3446,2172
2023-07-12,160186,79602,3093,1933
2023-07-13,163917,80552,3731,2216
2023-07-14,168512,81428,4595,2564
2023-07-15,172295,82064,3783,2120
2023-07-16,175710,82534,3415,1863
2023-07-17,179513,82986,3803,2035
2023-07-18,184116,83675,4603,2454
2023-07-19,189763,84841,5647,3228
2023-07-20,196544,86331,6781,3751
2023-07-21,204157,87818,7613,3874
2023-07-22,212795,90215,8638,5035
2023-07-23,222193,92592,9398,5369
2023-07-24,235236,95858,13043,7334
2023-07-25,248850,99365,13614,7721
2023-07-26,263258,103628,14408,8710
2023-07-27,276464,106250,13206,7174
2023-07-28,288535,108597,12071,6735
2023-07-29,297992,110137,9457,5299
2023-07-30,305972,111380,7980,4815
2023-07-31,315237,112552,9265,5217
2023-08-01,325214,114146,9977,5907
2023-08-02,334877,115307,9663,5393
2023-08-03,344326,116486,9449,5309
2023-08-04,353915,117779,9589,5488
