WEB3_ID,TOTAL_DEPOSIT,MIN_DEPOSIT,MAX_DEPOSIT,AVERAGE_DEPOSIT,NUMBER_OF_DEPOSITS
Reunit,29065,100,7010,1384.047619047619,21
Millionaire,14992.789999999999,0.2,3100,50.311375838926175,298
snehur,9131.459999999995,0.1,1000,21.040230414746535,434
Richie_Rich,7384.670000000026,0.01,3000,29.42099601593636,251
yobit,6305.300000000002,0.02,1515,52.10991735537192,121
hannry,5447.209999999999,0.01,3000,22.509132231404955,242
a16z,4844.857699999998,6,777.77,72.31130895522385,67
Holdstation,4566,5,1000,61.7027027027027,74
an0n,4370.98,1,1208,16.747049808429118,261
QUID,4246.394499999998,0.01,245,8.10380629770992,524

